title	author	body
留别松山观察以皇恩只许住三年为韵，七首之一	余文仪	忆昔长安道，同时侍玉皇。公方翔凤阁，予谬含鸡香。公才简帝心，捧檄来闽疆。予亦衔命出，连镳共一方。长溪接三山，灯火每相望。
留别松山观察以皇恩只许住三年为韵，七首之二	余文仪	三山领十郡，公政惟春暄。愧予持布鼓，安敢拟雷门。虑囚参末议，稍稍窥篱樊。左提复右挈，卵翼感殊恩。正期侍颜色，朝命移朱幡。
留别松山观察以皇恩只许住三年为韵，七首之三	余文仪	朱幡出东宁，未至民先喜。东宁本荒服，伏莽多虎兕。吏黠营奸私，荆蓁欺兰芷。下车公毅然，为水不如火。期月风肃清，千里歌乐只。
留别松山观察以皇恩只许住三年为韵，七首之四	余文仪	三载政大成，青草生囹圄。受代及瓜期，承乏适命予。竭蹶步后尘，鲁直公独许。不惜屈天潢，谓予长马齿。告予旧政教，相勖敦古处。
留别松山观察以皇恩只许住三年为韵，七首之五	余文仪	送公往朝天，公去予独住。坐公政事堂，尺寸守公度。宽猛本相济，非敢妄攀附。抚公旧松桂，复思新雨露。邮传秉节回，双旌喜重渡。
留别松山观察以皇恩只许住三年为韵，七首之六	余文仪	村社久巡历，风土公素谙。立马迎前驺，呼声乐且湛。公治推至诚，风雨皆和甘。予惟谨受教，举一思反三。独搔旧头颅，顾影殊自惭。
留别松山观察以皇恩只许住三年为韵，七首之七	余文仪	白日去鼎鼎，青鬓换华颠。政绩无可纪，素餐年复年。君恩许放归，山足尚轻便。布衣款戟门，重申旧缠绵。愿公崇令德，报国仗大贤。
送干静专司马谢病归江右	余文仪	执手意无极，欲言心转忘。至人退即进，我法柔为刚。存道固存拙，不卑亦不亢。波澜生古井，兰蕙失芬芳。飞渡一泓海，置身千仞冈。愿言崇令德，特达看圭璋。
送裴总戎秩满西渡	余文仪	廿年小阮旧论交，两载同方荷并包。铃阁月明驯虎豹，楼船风肃靖螭蛟。泽深海国长垂荫，勋策云台看锡茅。独笑白头偕野鹤，淹留犹复等悬匏。
端阳前见篱菊作花【端阳节篱菊作花】	余文仪	清节秋霜世久知，东篱五月独标奇。非关傲骨因人热，要见炎凉总不移。
台阳八景	余文仪	风撼长竿卷大旗，安平渡口夕阳时。参差帆影轻鸥泛，砰湃涛声铁马驰。收网渔郎还隐隐，招人舟子故迟迟。醉翁矫首筹同济，灯火连村尽系思。
台阳八景	余文仪	涌浪声声似鼓鼙，将军从此殄鲲鲵。清笳落日归渔笛，战垒寒烟冷钓堤。但觉星光齐上下，不分磷火遍东西。太平岁久销沉尽，折戟何须问水犀。
台阳八景	余文仪	鹿耳门雄万里城，暗沙沉铁鲸鲵惊。春风春雨波能立，潮落潮生气未平。骇浪周遭天设险，飞帆屈曲地中行。从来利涉凭忠信，笑指群鸥久定盟。
台阳八景	余文仪	十年作郡白盈头，雪爱炎方为淹留。遥对玉山成二老，消归银海作清流。众峰远列看雌伏，鸣瀑齐声报晓筹。应是碧鸡曾羽化，樊龙犹得傍瀛洲。
台阳八景	余文仪	万水朝宗尽注东，晓云初散日曈曨。漆园但觉虚生白，函谷遥惊气尽红。和霭渐蒸鲲变化，华光合配月玲珑。长春海国扶桑近，不用挥戈仰再中。
台阳八景	余文仪	西屿丹霞可乐饥，海波摩荡日崦嵫。轩轩顾影谁能举，冉冉登台或有期。十色五光萦彷佛，宋车鲁马更离奇。分明一幅鹅溪绢，界画云烟李伯时。
台阳八景	余文仪	戟门西上耸澄台，扶醉登临亦壮哉。片片贾帆破浪出，腾腾阵马御风来。守身时懔冰渊念，拯世深惭舟楫才。但使汪洋归大度，任他蠡测与鸥猜。
台阳八景	余文仪	涛声日夜镇长听，偏聚凌虚君子亭。淅沥乍惊风折笋，噌吰疑是雨淋铃。近连射圃乱鸣镝，并入春潮沸震霆。自笑巴音同布鼓，广长舌愧吐莲青。
赤嵌城	傅汝霖	千重云海绕城东，影落平沙夕照红。夜月飞银渔火暗，晚烟积翠戍楼空。星分牛女双垣外，地隔蓬莱一水通。好向安澜征暨讫，由来声教纪攸同。
雁门烟雨	僧喝能	蒙蒙雨气近黄昏，过客分明说雁门。鸿雁几时来此地，烟云终日闭孤村。盘空路作惊蛇去，入险山如渴鹿奔。遥望前头深峡里，微茫残霭数声猿。
鲫潭霁月	僧喝能	野迥天空水淼漫，银蟾泻影出云端。聚星亭落群峰碧，钓月船回一棹寒。籁寂波光拖玉练，更阑斗转荡珠盘。清池曾照禅心现，争似东湖说大观。
初抵台湾柬书都谏	六十七	茫无涯涘海天春，篷转云飞辨不真。彩鷁乘风穿雁屿，绣衣衔命跨鲲身。番黎乐享承平久，士女欢迎气象新。万里故人初把臂，相看先问近诗频。
乙丑（1745）立春得春字，二首之一	六十七	瑞兆农祥斗建寅，管弦声里万家春。遥知圣主行时令，日月光华淑气新。
乙丑（1745）立春得春字，二首之二	六十七	葭管灰旋万象新，东风吹彻海天春。会须遍播阳和意，岛屿民皆击壤民。
人日	六十七	缕金剪彩我何知，祇望阴晴卜岁时。胜事浑输高尚客，草堂挥麈正题诗。
方司马惠九头柑柬谢限三字	六十七	海壖残腊试霜柑，纔挹清香兴已酣。采自千头金颗重，携来九瓣玉浆甘。种传瓯粤原无匹，宴饮华林旧赐三。不是乘槎远行役，殊方佳味那能谙。
庄副使惠女贞酒赋谢限从字	六十七	捣香筛辣春溶溶，瓮醅初泼金芙蓉。入唇一盏何醇醲，光浮海上最高峰。知是女贞合，作酿桂兼松。青州从事披心胸，瀛壖副使嘉惠重。时逢岁稔乐三农，我今无事饮千钟，醉乡王绩聊相从。
即事偶成二律，二首之一	六十七	微茫岛屿片云孤，物产民风事事殊。绝好饔飧红脚早，天然篱落绿珊瑚。花无寒燠随时发，酒长琼浆不用沽。最是良畴耕凿易，欣然醉饱乐唐虞。
即事偶成二律，二首之二	六十七	饱啖槟榔未是贫，无分妍丑尽朱唇。颇嫌水族名新妇，却爱山蕉号美人。剧演南腔声调涩，星移北斗女牛真。生憎负贩犹罗绮，何术民风使大淳。
鹿耳门汛即事	六十七	乘风纔命驾轻航，回首荒城已渺茫。日与云山争隐见，天连波浪若低昂。巡行鹿耳新防汛，指点鲲身旧战场。谁道疆隅惟恃险，熙朝盛德足金汤。
九日	六十七	朝来门巷集儒巾，屠狗吹箫共赛神。蝴蝶花残清入梦，鲤鱼风老健于春。酒浇幽菊舒黄蕊，琴鼓飞鸢扬碧旻。并着单衫挥羽扇，炎方空说授衣辰。
七里香限芳字	六十七	雪魄冰姿淡淡妆，送春时节弄芬芳。着花何止三回笑，惹袖犹余半日香。竟使青蝇垂翅避，不教昏瘴逐风狂。灵均莫漫悲兰茝，正色宜令幽谷藏。
吊五妃墓【五妃墓】【五妃墓道碑】	六十七	东风骀荡天气清，载驰骢马春巡行。刺桐花底林投畔，森然古墓何峥嵘。路旁老人为余泣，当年一线存前明。天兵既克澎湖岛，维时台海五烈皆捐生。至今坏土都无恙，谁为守护劳山精。云封马鬣连衰草，四围怪石争纵横。时闻鬼母悲啼苦，想见仙娥笑语声。岁岁里民寒食节，椒浆频奠陈香羹。满目荒凉已感叹，更听此语尤伤情。有明岁晚多节义，樵夫渔父甘遭烹。岛屿最后昭英烈，顽廉懦立蛮妇贞。田横从死五百皆壮士，吁嗟乎。五妃巾帼真堪旌。
水仙花限冰字	六十七	凌波仙子世同称，琼岛芳姿未敢凭。香与春风相应接，神将秋水共清澄。玻璃案上金千点，玳瑁筵前玉几层。不许纤埃侵皓素，檀心夜月一壶冰。
长尾三娘	六十七	翠羽光华绶带长，如云委地美人妆。命名当日非无意，谓胜黄家第四娘。
登澄台观海【澄台】	六十七	层台爽气豁双眸，远望沧溟万顷收。赤雾衔将红日暮，银涛拍破碧云秋。鲲鹏飞击三千水，岛屿平堆十二楼。极目神州渺无际，东南形胜此间浮。
蜥蜴	六十七	两头埋后终无恙，四脚何妨暴日频。盛世已除残酷吏，不须惆怅捕蛇人。
頳桐花限龙字	六十七	枝柔叶厚碧痕浓，色艳还看花发重。朱萼临风迷紫蝶，丹须和露抱黄蜂。剪残红锦枝头见，敲碎珊瑚月下逢。好是年年夸竞渡，鲜妍如火映鱼龙。
曹仁宪谨荣寿六言体，二首之一	刘崧	闻说香山九老，高年聚会同堂。自昔名不朽，至今姓氏犹芳。惟兹夫子嗣起，足与前人并良。我辈称觞再拜，冈陵为诵一章。
曹仁宪谨荣寿六言体，二首之二	刘崧	斯文今属斯人，天付东瀛教民。化雨及时功倍，仁风载路治淳。先生意态何远，太古须眉自真。为祝从今不老，满城桃李长春。
海中岛	劳之辨	海中岛，各一方。耳无帝，目无王。古若兹，况汉唐。胜国末，郑寇强。踞其壤，恣跳梁。乘潮汐，驾帆樯。肆扰掠，毒闽疆。皇赫怒，整斧斨。命楼船，下扶桑。寇日蹙，乃求降。陬兼澨，梯且航。置郡县，破天荒。贡皮币，赋蔗糖。销兵气，日月光。
台湾杂咏	劳之辨	春盘绿玉荐西瓜，未腊先看柳长芽。地尽日南天气早，梅花纔放见荷花。
台湾杂咏	劳之辨	酿蜜波罗摘露香，倾来椰酒白于浆。相逢歧路无他赠，手捧槟榔劝客尝。
曹仁宪谨荣寿两韵体，二首之一	吴得彰	古调琴弹施政广，涂歌里咏口为碑。万家甘雨万家想，一邑惠风一邑思。丝绣平原新气象，图传洛邑旧英耆。今朝且喜长生享，檀板金樽介寿眉。
曹仁宪谨荣寿两韵体，二首之二	吴得彰	吏治群推清且肃，还将雅化及群英。孝经课诵童骑竹，小学刊施士辟荆。已把金针施教育，尤将玉尺就裁成。吾侪拜手赓多福，一缕心香达堑城。
题黄玉圃巡使台阳花果图	吴王坦	尔雅自姬公，搜讨穷大块。后有山海经，所言同志怪。荒略何从稽，于说亦荑稗。乃知天地间，赋形各万派。若非域外游，直犹等聋聩。巡方绣衣行，几及扶桑界。东溟凌沧波，惊涛历澎湃。既至振纪纲，问民轸病瘵。闻见往往殊，耳目为一快。其中植物繁，罗列登市卖。五色烂然陈，厥状难尽话。细文如锦章，粗文如方罫。枝叶非寻常，异味皆可嘬。召工写此图，摹仿在公廨。碧绿与丹朱，肖真事挥洒。称名复辨种，按之悉能解。我生里閈间，未得广行迈。多识惭古人，拘墟徒自絓。晴窗试展看，意旷若脱械。虚名玷使星，愿无远弗届。
题黄玉圃巡使台阳花果图绝句，二首之一【花果图】	吴王坦	少许猊床侍释迦，一家眷属见昙花。遥知使节风清候，携得金茎洒异葩。
题黄玉圃巡使台阳花果图绝句，二首之二【花果图】	吴王坦	珍果图来命画师，拈花又写佛前枝。窗明几净清茶供，绝胜黄金铸象时。（吴福助编校）※
曹仁宪谨荣寿七言截句，四首之一	吴阶青	天朝雨露得呼嵩，耆寿应从保乂中。自是万年君子德，鸣鸠一什带来风。
曹仁宪谨荣寿七言截句，四首之二	吴阶青	鸿钧淑气又生申，东洛衣冠第一人。为想当年图九老，耆英待此话重新。
曹仁宪谨荣寿七言截句，四首之三	吴阶青	理学闽南自洛传，学庸成序届行年。如今眼政知多暇，一瓣心香在昔贤。
曹仁宪谨荣寿七言截句，四首之四	吴阶青	奏绩闽邦控上头，井田学校两兼优。凤山棠茇淡江黍，衣食万家遍唱筹。
别澎湖十六韵	周于仁	行年将六十，三仕到澎阳。海国东南峤，星经牛女乡。天悬青共远，水接碧同长。飓发疑雷吼，沙飞似雾茫。有时奔万马，无计卧双樯。风景虽多别，民情却甚良。勤耕蓣作饭，俭用布为裳。麦稻还须籴，豆麻尚可粮。黍黄村火密，草绿讼庭荒。柴户何尝闭，蒲鞭不用扬。官闲惟啸月，民乐可烹羊。窃禄亦云久，留名敢谓芳。光阴飞石火，花甲变星霜。将别还延伫，思归欲束装。群黎虽祖饯，一苇早轻杭。暂息鹭州地，追怀赋短章。
曹仁宪谨荣寿五言排律一首	周承敬	今日共称觥，当年赋鹿鸣。雄才挥笔阵，弱冠拔茅征。北阙蒲轮逮，南陬竹马迎。官方鳌岫着，宦迹凤山呈。会展交衢骥，旋迁出谷莺。紫陵飞舄至，淡水旧弦更。时雨随车澍，春风满座生。虚堂悬镜朗，片玉贮壶清。鹿洞规频训，鸿都字细评。卧碑齐士肄，停讼课农耕，政类屯田佛，人原洛社英。岁星符出丙，巴曲谱长庚。宽惠能滋福，廉勤不爱名，南山开寿域，东阁订诗盟。晋爵黄钟叩，摛词寸莛轻。有邦烝至治，大化普无声。郦菊他年饮，园葵此度倾。登龙怀御李，司马幸瞻荆。妙手栽花遍，天庥戬榖赓。弧辉宜久照，松柏重莼羮。
初夏燕集	周日灿	日月无停轨，芳时最难留。人生当为欢，慽慽复焉求。幸有芳尊在，旷然涤繁忧。熏风被广陌，兰茝散林邱。凫鷖何处来，唼唼鸣沙洲。叹我羽翼短，飘颻莫与俦。长歌沧海外，知我共绸缪。
留题诸罗十一番社	周芬斗	秀色罗山列画屏，男生聪慧女娉婷。三苞竹韵琴堂化，管领熏风动舜廷。
留题诸罗十一番社	周芬斗	柴里烟光映水沙，穰穰妇子咏年华。尖山泉引禾田腴，更绕芳洲种落花。
留题诸罗十一番社	周芬斗	虎溪中路渡盈盈，螺黛东西隔岸横。他里郁葱来紫雾，共沾雨露享升平。
留题诸罗十一番社	周芬斗	慕义驯良首打猫，我来三岁息喧嚣。肩舆绝迹官音谙，踏月清歌度洞箫。
留题诸罗十一番社	周芬斗	十八重溪外九重，山环水复草蒙茸。既和族类臻饶裕，秫酒清过汉酿浓。
留题诸罗十一番社	周芬斗	袖箐飞镖健卒张，长官白马驭驯良。家家小圃林阴护，一亩桄榔一草堂。
留题诸罗十一番社	周芬斗	新社溪街花六开，一湾水月共楼台。夕阳芳草双双渡，式好同舟共济来。
留题诸罗十一番社	周芬斗	武垄盘社凤冈中，瓞衍芋匏韭本丰。十里蒲仑渡浏浏，一犁嵌顶雨蒙蒙。
留题诸罗十一番社	周芬斗	濑清走马到萧篱，芒仔芒分茄茇支。换得内优解鹿脯，稻香蔗蜜厌唐师。
留题诸罗十一番社	周芬斗	烟火村墟入内山，相逢傀儡慎防闲。舆谋莫献原田膴，三浦云封一任闲。
留题诸罗十一番社	周芬斗	东围西社浑桃津，后旺瓜麻种海滨。百里裹粮漫远佃，槟榔千树赛千囷。
干豆门苦雨，二首之一【关渡门	周钟瑄	无赖阴云拂地垂，客愁如绪一丝丝。那堪更向秋风里，卧听黄梅细雨时。
干豆门苦雨，二首之二【关渡门	周钟瑄	蛮烟如雾复如云，缕缕连江幛夕曛。犹喜长风能破浪，千山猿啸雨中闻。
吞霄观海	周钟瑄	浩渺无因溯去程，仙槎客泛正须评。轻浮一粒须弥小，包括恒河色界清。世外形骸杯可渡，空中楼阁气嘘成。情知观海难为水，更有红轮向此生。
望玉山	周钟瑄	晓岚高卷日初生，一片晴光照眼明。积雪不消三伏后，层冰常讶四时成。疑他匹练非吴市，遮莫胥涛向越城。大璞已教天地凿，山灵稳卧不须惊。
番戏，五首之一	周钟瑄	蛮姬两两斗新妆，蹀躠花阴学舞娘。珍重一天明月夜，春来底事为人忙。
番戏，五首之二	周钟瑄	不抡檀板不吹笙，一点钲声一队行。气味何如初中酒，山花翠羽鬓边横。
番戏，五首之三	周钟瑄	联翩把袖自歌呼，别样风流绝世无。番调可知输白雪，也应不似泼寒胡。
番戏，五首之四	周钟瑄	野气森森欲曙天，维摩新病未成眠。空余无限罗伽女，乱把天花散舞筵。
番戏，五首之五	周钟瑄	一曲蛮歌酒一卮，使君那惜醉淋漓。但令风物关王会，我欲从今学画师。
登八里坌山远眺	周钟瑄	褰裳直踞千峰上，万里苍茫一色同。远目但余天贴水，近闻惟觉浪号风。巨鳌有首低擎地，瘴雨无根直幔空。寂寞斗牛谁再犯，好将消息问严公。
台湾纪巡诗【台湾杂咏百首】，五十八首之二	夏之芳	节旄高插引晴岚，人拥花骢弛辔衔。拜罢耆童回道左，纷来朱履又青衫。
台湾纪巡诗【台湾杂咏百首】，五十八首之三	夏之芳	野田晴晓碧天空，地指扶桑东复东。赤嵌城边云散彩，拓开海日一轮红。
台湾纪巡诗【台湾杂咏百首】，五十八首之四	夏之芳	负暄童叟爱冬温，红稻成堆拥荜门。桐竹周遭鸡犬静，教人历历认花村。
台湾纪巡诗【台湾杂咏百首】，五十八首之九	夏之芳	不须挑逗苦劳心，竹片沿丝巧作琴。远韵低微传齿颊，依稀私语夜来深。
台湾纪巡诗【台湾杂咏百首】，五十八首之十一	夏之芳	杵臼轻敲似远砧，小鬟三五夜深深。可怜时办晨炊米，云磬霜钟咽竹林。
台湾纪巡诗【台湾杂咏百首】，五十八首之十三	夏之芳	虚滩水落涨沙泥，南北中分虎尾溪。一带草荒村舍少，年来新集有烝黎。
台湾纪巡诗【台湾杂咏百首】，五十八首之十七	夏之芳	诸峰攒集黛螺青，玉岭如银色独莹。展拓晴云千万里，插天一幅水晶屏。
台湾纪巡诗【台湾杂咏百首】，五十八首之十八	夏之芳	莽葛轻便破碧沙，弄潮如戏语喧哗。依稀佛子乘杯渡，彷佛仙翁泛海槎。
台湾纪巡诗【台湾杂咏百首】，五十八首之二十四	夏之芳	二林迤逦接三林，淡水濴洄咸水深。极目沧波浮海市，一拳真欲笑蹄涔。
台湾纪巡诗【台湾杂咏百首】，五十八首之二十九	夏之芳	龟蛇对峙锁孤城，形势空传统领营。不筑埤头筑海口，为怜安土重纷更。
台湾纪巡诗【台湾杂咏百首】，五十八首之三十	夏之芳	打鼓山头石罅开，悬崖倒拍海潮回。雷声鼎沸浮空翠，万里风樯认影来。
台湾纪巡诗【台湾杂咏百首】，五十八首之三十二	夏之芳	仙山缥渺暗斜曛，石上棋枰旧印纹。沙马矶头人罕到，烂柯樵子话烟云。
台湾纪巡诗【台湾杂咏百首】，五十八首之三十六	夏之芳	八社丁徭力渐纾，番娘饷税早捐除。只今宵昼辛勤处，谨护官家十万储。
秩满留别台阳，四首之一	夏瑚	兢兢捧檄渡瀛堧，风物台阳别有天。面海背山成泽国，高陂低岸遍腴田。风淳俗是觚初破，吏拙官同磨在旋。三载簿书劳梦寐，搴帘卧理愧前贤。
秩满留别台阳，四首之二	夏瑚	欲步芳型作宰难，因时敷治称心安。宏施大造陶钧力，曲体民生妇子欢。断狱若神惭铁岭，澄怀似水愧清端。他年倘谱循良传，敢信微名取次刊。
秩满留别台阳，四首之三	夏瑚	何期小草忽增妍，厚沐滋培达九天。百里政惭书上考，六条计忝附官联。烟销海国鲲鲸岛，日丽皇途騄駬鞭。敢拟香山留别句，皇恩只许驻三年。
秩满留别台阳，四首之四	夏瑚	一行作吏素硜硜，宠辱于中两不惊。抚字催科从吏议，茧丝保障待公评。别无恋栈心难白，祇有衔恩志欲鸣。计日扬帆趋北阙，回瞻鹿耳不胜情。
送孙武水之台湾	姜晨熙	羡门居士人中豪，雕龙妙手鑱双毫。元音击拊鸣钟鼗，才思鹊起冠英髦。吴越盘敦推孙鼛，偶携竹笠披征袍。残书万卷奚奴挑，无诸城下秋萧骚。客窗冷破西风号，猖狂忽慕乘桴逃。径思跨海钓灵鳌，笔床蹴寄彭泽陶。邻鸡攘割挥牛刀，向我作别意忉忉。离亭握手开芳醪，海乡滋味脍鱼魛。玉觥交错余贪饕，追欢更卜焚兰膏。阄题射覆白战鏖，齐楚盟会联滕曹。酣歌各客乡音操，送君此去纵游遨。厦门东望桅樯高，拍天白浪流滔滔。蒲帆十幅驾渔舠，赤鲸欲起吼蒲牢。铁板沙涨水三篙，鹿耳门迥风飕颾。海蛮互市声喧嘈，碧眼番贾来红毛。金汤七里雄城壕，海氛久靖弓垂櫜。土垣编竹都葸簩，蒙茸瘴岭豺虎噑。民居栉比茅索綯，潮田种作无灾涝。番童赤足腰束绦，腾空捷足如猿猱。口啖生畜何腥臊，蚌灯燃火鱼膏熬。春风二月柔丝缫，踏歌游女弹胡槽。垆头劝饮倾葡萄，蛮乡风俗原淫惂。看君教化奏琳璈，朱门抵掌谈嚣嚣。殊方问俗及豚羔，海隅鸿雁无哀嗷。青油帐底醉醄醄，仰天狂叫首频搔。男儿岂仅终蓬蒿，尘胎会见解天弢。蓬瀛路近山周遭，神仙宗伯访卢敖。鲲鹏变化将翔翱，旗常勋业符伊咎。即今宝剑龙光韬，凌霄志气君毋挠。穷途笑我吠狂獒，石田耕徧徒劳劳。一编敢说诗名叨，绝交书莫拟山涛。他年共尔归江皋，称觞各捧瑶池桃。
海会寺	娄广	此地当年拟馆娃，蜃楼海市霸图赊。王孙已去遗芳草，宫院谁来扫落花。歌管声沈闻贝叶，舞衫采彻现袈裟。我非佞佛闲随喜，喜见梯航属一家。
望洋	孙元衡	望望残春生事微，金门厦门多夕晖。乱山断处天应尽，一发穷时鸟不飞。潮汐东西游子路，嶕沙开阖水军威。奚囊万里复何有，未典年来两赐衣。
乙酉（1705）三月十七夜渡海遇飓天晓觅澎湖不得回西北帆屡濒于危作歌以纪其事	孙元衡	羲和鞭日日已西，金门理楫乌鹊栖。满张云帆夜济海，天吴镇静无纤翳。东方蟾蜍照颜色，高低万顷黄琉璃。飞廉倏来海若怒，颓飙鼓锐喧鲸鲵。南箕簸扬北斗乱，马衔罔象随蛟犀。暴骇铿訇两耳裂，金甲格斗交鼓鼙。倒悬不解云动席，宛有异物来诃诋。伏艎僮仆呕欲死，胆汁沥尽挛腰脐。长夜漫漫半人鬼，舵楼一唱疑天鸡。阿班眩睫痿筋力，出海环珓频难稽。不见澎湖见飞鸟，飞鸟已没山转迷。旁罗子午晷度错，陷身异域同酸嘶。况闻北嶕沙似铁，误尔触之为粉齑。回帆北向岂得已，失所犹作中原泥。浪锋舂汉鷁首立，下漩涡臼高桅低。怒涛汹溅顶踵湿，悔不脱壳为凫鷖。此事但蒙神鬼力，窅然大地真浮稊。翠华南幸公卿集，从臣旧识咸金闺。挂冠神武踪已迈，愿乞骸骨还山溪。读书有儿织有妻，春深烟雨把锄犁。
危舟得泊晚饭书怀	孙元衡	大海狂澜惊转舵，金山到似解重围。此生不道有来日，欲往何如成独归。粗粝儒餐初定痛，萧疏旅鬓忽知非。百年好是双行脚，梦绕湖山旧翠微。
海波夜动焰如流火天黑弥漫亦奇观也	孙元衡	乱若春灯远度萤，坐看光怪满沧溟。天风吹却半边月，波水杳然无数星。是色是空迷住着，非仙非鬼照青荧。夜珠十斛谁拋得，欲掬微闻龙气腥。
黑水沟有序	孙元衡	气势不容陈茂骂，奔腾难着谢安吟。十洲遍历横洋险，百谷同归弱水沉。黔浪隐樯天在臼，神光涌棹日当心。方知浑沌无终极，不省人间变古今。
抵澎湖澳	孙元衡	孤岛如梯一苇航，情怀跋扈兴相羊。身随云鸟投清墈，夜鼓天风过黑洋。翠蟹胎鱼堪入馔，竹湾花屿有飞觞。此间未是埋忧地，贯月浮槎正渺茫。
抵台湾，二首之一	孙元衡	八幅征帆落远空，苍龙衔烛晚波红。洲前竹树疑归后，天外云山似梦中。鹿耳荡缨分左路，鲲身沙线利南风。书名纸尾知无补，着得诗筒与钓筒。
抵台湾，二首之二	孙元衡	浪言矢志在澄清，博得天涯汗漫行。山势北盘乌鬼渡，潮声南吼赤嵌城。眼明象外三千界，肠转人间十二更。我与苏髯同不恨，兹游奇绝冠平生。
晓起漫成	孙元衡	百瓮余齑禄料贫，闲阶散步不沾尘。如哀如诉车音远，相唤相呼角语频。舞影日翻沙燕乳，细香风袅树兰春。年来绝塞烽烟惯，博得沧洲耳目新。
晚眺	孙元衡	他乡莫望远，独立况黄昏。落日鎔天海，归舟刺岛亹。鷾鸸无缓翦，鱼虎不空翻。此际忘机者，心情孰与论。
咏荔枝，二首之一	孙元衡	颇怪繁星谪软尘，筠笼将出故鲜新。味含仙意空南国，姿近天然是美人。丹罽潜胎珠玓瓅，脂肤满绽玉精神。一时唤起狂奴兴，万事灰心渡海身。
咏荔枝，二首之二	孙元衡	不受盐欺与蜜侵，骚人新摘自沉吟。轻红照肉白凝齿，芳气袭魂寒沁心。笑后左车生小愠，望中飞骑更相寻。南杨粗丑北卢拙，回避頳珠出宝林。
病后书怀寄筱岫	孙元衡	病余秋气总阴森，一卷庄骚苦竹林。海日斜时潮水阔，山风起处瘴云深。偶从甘蔗逢佳境，忽见芭蕉赋卷心。消受短檠人静后，守宫轧轧草虫吟。
中秋夜对月【中秋赏月】	孙元衡	海阔偏宜月，天南不觉秋。自怜家尚在，甘与梦同游。香瘴潜浮桂，狂潮欲上楼。一杯乡国酒，休为看花留。
食槟榔有感【槟榔】，二首之一	孙元衡	竹节棕根自一丛，连林椰子判雌雄。醉醒饥饱浑无赖，未必于人有四功。
食槟榔有感【槟榔】，二首之二	孙元衡	扶留藤脆香能久，古贲灰匀色更娇。人到称翁休更食，衰颜无处着红潮。
诸罗县即事	孙元衡	龟佛山前八掌舒，雕题绝国展皇舆。木城新建烦酋长，官廨粗营似客居。北向夷巢环瘴海，西偏估舶就牛车。嗟余惯睹殊方俗，铅椠随身可自如。
过他里雾，二首之一	孙元衡	翠竹阴阴散犬羊，蛮儿结屋小如箱。年来不用愁兵马，海外青山尽大唐。
