<begin>	1	人事类
11	怀古	今古 江山 望远 流水 争战 空梦 国家 江树头 人何在 千年恨 成何事 兴亡 豪杰 伤尧 夕阳 英雄 断碑 禾黍 楚云哀 潮自来 一世雄 半落晖 千宫冢 吾辈老 广武叹 河声 灰膏肉 伤往事 汉家钟鼓 天荒地老 事往千年 百代官 古人林 洛生吟 野色中 动心魂 枕寒流 魏国山河 虎战龙争 愁来一日 词客有灵 江水淮山 江山有恨 流年川暗度 园荒乔木盛 浮云多改变 北望人何在 霸才无主 宋台梁馆 天地无情 往事月空明 堂在昔人非 乔木几兴亡 东流水不回
12	怀归	归心 孤云 望眼 落日 长路 登高 千里 客心 异地 归兴 故乡 离恨 登楼 作赋 极目 蝴蝶梦 家千里 他乡 望远 一年 归梦 故园 诗愁 旅梦 旅怀 流涕 闻笳 奋怀 子规声 鬓二毛 孤云远 清夜梦 愁寂寞 寒日暮 月初上 天欲晓 千里关山 双鬓客心 枕中故国 一雁飞 白头吟 信微茫 故山秋 人未归 泪空频 一番风雨 两眉乡思 镜流年 风霜侵晚节 雪声遍傍竹 解组辞骢马 露从今夜白 老侵长路鬓 湖海三千客 倦游行老矣 天地入归心 寒梦不离家 还家卧白云 月傍故乡明 春荡故园心 妻孥四壁居 不隐赋归哉
<end>	1
<begin>	2	人品类
1	人材	绣虎 人瑞 三杰 一鹗 璞玉 奇才 国瑞 骊珠 第一 海鹇 威凤 凤雏 玉山 天才 一夔 六龙 浑金 伟器 人龙 丰剑 无双 天马 卧龙 骥子 家宝 南金 道学 伏鹰 清朝器 公辅量 王佐才 五色线 赋一物 秋佩印 声价重 国珍 北斗 神明 卧虎 治世音 端揆才 非常器 八斗才 诵千言 夜鸣珂 姓名香 德比珪璋 海内斗山 明映冰壶 清庙瑟三叹 清节冰壶莹 柱石千人杰 岂是池中物 品同琬琰 朝端柱石 清标玉柱 斋房芝九茎 孤标玉树新 珪璋一代儒 由来席上珍 庙谋藏稷契 兵略贮孙吴
2	卜筮	揲蓍 开市 协吉 闭肆 吉凶 研穷 青囊 阅数 四兆 推步 谋筮 拂龟 决疑 下帘 祸福 推测 黄策 画神 五行 知来 悔吝 兆三 避屋崩 古八颂 何待卜 审吉凶 彰往察来 青莲神祭 筮短龟长 乘皇策文 咎休 揲四 消雷厄 悉五繇 不须推 知去取 穷神知化 翠野灵蓍 策圆骨智 启青正秘 铁笔一枝 聚雪连山 鸣凤启仲 文中能审象 立爻三画变 阴阳藏智府 金钱三字 密云拥气 非熊兆姜 言下可稽疑 四象八方成 休咎相灵龟
3	公子	风流 斗鸡 挟弹 娇马 青楼 九陌 玉勒 朱履 豪贵 走犬 击九 艳姬 平乐 五陵 紫箫 玉鞭 连璧 宝马 笙歌 走马 锦袖 轻飞箭 买花去 梧桐院 终身乐 户衔金兽 深院吹笙 仙丹 雕鞍 罗绮 援弓 玉街 缓着鞭 沽酒归 杨柳风 到处游 帘坠玉钩 静街调马 马上臂鹰 五陵侠少 昼游花市里 香飘罗绮院 柳边金勒映 笙歌归院落 晓日寻花去 袖中携剑 六郡良家 夜宿锦丛中 花簇管弦楼 花外绣衣明 灯火下楼台 春风带酒归 连钱爵金勒 凿落写银罂
4	出猎	祝网 骑马 获麟 放麑 搜田 黄犬 作对 旗旌 捕逐 云禽 角鹰 迅马驰千里 开旗分小队 臂鹰登峻岭 纵猎 苍鹰 张旗 击鼓 奔驰 霜兔 羽箭 高鹰起百重 穿草合重围 逐兔过平冈
5	合药	三品 四家 捣罗 寒温 虫鱼 名方 异品 神农尝草 寒热阴阳 炉里金丹 物先观上物 妙诀宁传俗 炮炼 甘苦 金石 妙术 奇方 鸿术为医 君臣佐使 月中玉兔 方必按名方 灵丹必驻颜 风前香气郁 有功皆救治 月下杵声寒 无病不消除
6	地理	青囊 玉函 藏风 挂月 牛眠 湖灯 择土 锦囊经 赤雹 金斗 聚水 覆舟 龙耳 竹策 拨沙 青乌子 金锁秘 示三仙 五患当除 彦辅清言 玉函真 梦二使 一坏能制 景纯奥语
7	老臣	衰颜 鸠节 龙宗 眼花 白发 鹤发 矍铄 鬓雪 病骨 倚杖 庞眉 雪鬓 皤然 心灰 头垂 鹤骨 衰齿 头如雪 龙根瘦 春光短 衰筋 负暄 皓首 冰髯 老矣 形槁 齿落 霜髯 余龄 眼更花 鹤发疏 人事非 携灵杖 淹留岁月 去作忙官 桑榆光景 数茎白发 几杖不离席 道正愁还浅 白发千茎雪 驾小车 汨没风尘 退成闲叟 松柏岁寒 一梦黄梁 子孙常满前 年加睡却轻 丹心一寸灰 冲寒骑瘦马 本无丹灶术 认影识衰翁 那免白头翁
8	老将	霜鬓 矍铄 百战 谈兵 心铁 战胆 囊沙 拔帜 授钺 身老心犹壮 灰心 英雄 六韬 布阵 鬓霜 壮心 刻石 避矛肖 据鞍 年高计益奇 青襟今日幕 灰心缘忍事 自觉丹心壮 何曾画麟阁 细柳旧时营 霜鬓为谈兵 宁忧白发班 祗是老辕门
9	技艺	斫轮 屠龙 风斤 雕楮 画凤 月斧 轮奂 效能 应心 秋月斧 工夫巧 斫轮非小技 规矩 施功 食国 黑丝绳 事业新 削鐻有神机
10	武士	枕戈 勇略 威武 带刀 执戟 爪牙 扬威 挟矢 军中 干戈 铁甲 秣马 虎旅 充后殿 安边功业 英声怀绝域 气焰麾星斗 平生习弓箭 塞上 攻击 锦袍 弧弓 龙骧 作先锋 许国精神 威德镇穷边 威棱震虏庭 岂复问诗书 剑挥江日落 旗颭岛云翻
11	牧童	烟蓑 骑牛 眠云 笑歌 曲径 携笠 荷笠 雨笠 吹笛 卧月 归去 荒村 披蓑 插鞭 深村 歌处 烟中 带雨 箬笠 牛背 弄笛 长林 绿蓑 拍肩 芳草 烟郊 笑歌 入画 归时 月下 冲烟 芒鞋 树头 调歌 短笛 青箬 扣角 碧川 草地 呼唤 远近 牵犊索 骑牛去 花边立 红插山花 犊驱幽径 晚弄轻风 倦笛声高下 问牛知子母 东西 饭牛歌 吹笛归 草上眠 绿眠芳草 笛弄清音 夜眠明月 归鞭影短长 吹笛少宫商 披蓑行陇畔 暖日眠芳草 鞭绳常在手 戴笠冲烟去 顶笠过滩头 清风度远林 蓑笠岂离身 披蓑冒雨归
12	垂钓捕鱼	玉璜 坐茅 籊竿 挂鲤 射鸭 白龙 香钓 把钓 香饵 撒网 扁舟 白浪 投饵处 珠泽 倚柳 笭箵 引鲈 钓鳌 紫贝 芳饵 垂纶 细纶 乘舟 轻箬 金鳞 放船归 杨柳月高 晓垂纶去 数尺丝纶 纶细时舒卷 长竿横碧玉 露栖平岸草 曲树行菱角 芦花风软 暮踏月归 一蓑烟雨 矶闲任去来 香饵掷黄金 风约半池萍 平池散茨盘 飘衣风袅袅 投饵水潺潺
13	星学	谈天 穷通 知命 寿夭 六甲 旺相 五行 四余 都利经 先天学 如布定 知前定 吉凶悔吝 能知廊庙器 三奇 盛衰 三命 七曜 定真论 列宿图 预能知 究后来 富贵荣枯 先识栋梁材 胸中千载历 掌运一天星
14	相者	观形 贵贱 择术 月额 伏犀 牛腹 龙行 燕颔 辨色 吉凶 知人 山庭 鼎角 鸢肩 凤颈 虎头 奇骨 紫胞 测黄气 面长身 悬珠编贝 瞳赤好杀 欲论襟怀里 山庭知有异 辨色知愚智 手文 乌喙 占青蝇 眉过目 猬毛召棱 耳白闻名 难逃面目间 口角识非常 观形识咎休 空灵三寸舌 不疗一生贫
15	风标	风姿 额犀 凝脂 钉座 春柳 光风 秋月 星辉 璧立 玉山 仪表 目电 傅粉 出尘 瑶林 霁月 冰壶 月朗 澜回 岩电 赳赳 风流 乘车 风神秀 心似鲁连子 言论琼飘屑 矫矫 艳丽 挥麈 志气昂 面如裴晋公 风姿柳弄春
16	俳优	涂抹 纵乐 禅语 片时 滑稽 引观 谑谈 千古 抹粉 歌舞 离合悲欢 声如莺啭 虽无三日笑 滑稽惟取悦 当场 兴亡 战争胜负 体似燕翻 聊有一时欢 涂抹岂知羞
17	神童	上书 通义 总角 骨秀 正字 属文 垂髫 神奇 敏悟 通经 骥子 名驹 龙种 妙龄 兰芽 食牛 国瑞 聪明 群儿服 如夙诵 驹千里 清彻 捷对 麟儿 英物 凤雏 秀气 玉树 吐凤 天成 迪启 众客惊 不劳思 桂一枝 麒麟种 良玉不雕 当殿赋成 年将几弱冠 通经如夙诵 精神方总角 人间金鸾旅鸟 凤凰毛 灵根非种 内朝宣看 学已擅名家 捷对不劳思 宾客尽回头 天上石麒麟 精神应更爽 五行纔并读 答问自如流 七岁已能文
18	高杰	三径 洁身 食笋 高卧 四皓 草庐 五杰 洗耳 种瓜 隐居 二疏 蓬户 三宜休 洞连龙穴 严陵卧 心同野鹤 生不书名 蜗角千钟小 身世太仓粒 邱山高道义 五不住 窗透鲸波 范蠡归 诗似冰壶 死堪配食 鸿毛六印轻 干坤沧海沤 草芥土功名 浮云时事改 巢由不愿仕 孤月此心明 尧舜岂遗人
19	商旅	四方 寸心 穷途 天涯 萍浮 敝裘 飘云 关山 客泪 瘦马 桂玉 江湖 通物 万里 千里 逆旅 地角 蓬转 羸马 感慨 歧路 乡心 孤舟 萍蓬 风雨 出途 为计 贩贱 食玉 聚货 蹑屦 通财 负戴 乡信 蓬转 乡关 殊方 他山月 非吾土 言财 当贵 炊桂 寓公 担簦 鬻货 货财 客愁 萍流 风雨 故国 故国衣 是旧游 年年客 飘零客 雁外无书 十年道路 嶔山欹历落 似水年光 举日江山异 恨随千里月 处处家 长短亭 蛩边有梦 万里干坤 险阻艰难 如蓬身计 驰情枕簟寒 信断一枝梅 闲思归去路 衣湿全无火 鸡声茅店月 谋生空白发 愁读寄来书 囊空只有诗 人迹板桥霜 行路有青天
20	采药	披榛 荷锸 采苓 披云 千般 尝味 俱收 带叶 折枝 和露拔 卷蓬华 访蓬莱 诘隐者 苁蓉肉 寻朮 度岭 万品 知时 并蓄 连根 摘蕙 倚云栽 采芝茵 贪药饵 问山童 薯蓣膏 葛仙经 高高不惮 一笻凭历险 灵根宜细认 来往登高去 越云衣染湿 农皇帙 细细重寻 千里贵知名 嫩叶更重寻 徘徊缓步行 过草袖生香
21	贫士	尘甑 四壁 裂仓 敝裘 瓶罄 知命 茅屋 穷途 多疑病 无余粟 书千卷 丹心磨尽 弊衣 一冠 破屋 长铗 囊空 乐天 石田 陋巷 不疗贫 乏一钱 水一瓢 白发染成 瘦肌寒带粟 玩月到清晓 衰鬓数茎雪 尘满莱芜甑 病眼馁生花 看云满太虚 空囊一卷诗 寒生季子衣
22	惰夫	安坐 慵耕 游荡 游手 昼眠 杯尽 忘耕 饱食 安闲 辍耕 廪乏 田荒 自安 痴心贪晚酒 每废三时务 不复营田陇 饱食宁终日 不治 柔草满春山 宁期百室盈 多贪好市朝 慵耕望有秋
23	诗人	白战 笔力 气豪 杜诗 才高 得句 五千卷 扬元彩 曹刘敌 清词 词源 笔健 韩笔 吟苦 搜奇 二百篇 吐绣纹 李杜坛 寻灵草 思倚马 联星斗 认屈宋 踢翻鹦鹉 逸韵声金 五车学赡 胸中斧藻 高致屈宋艳 拾落花 笔生花 揽云烟 薄风骚 分得凤凰 高标映玉 八斗才雄 笔下宫商 浓熏班马香 日月精华薄 笔力千军阵 清新庾开府 山川千古气 山川气概卑 词源万马兵 俊逸鲍参军 风月一时清
24	农夫	父灾 地利 穑事 陇前 白首 原上 子播 天时 农功 树下 红颜 郊行 西畴 饭牛 荷锄 种黍 畎亩 携笻 荷蓑 菜花 火耕 戴月 力倦 种稻 田舍 南亩 饮犊 负锸 蒸梨 耕云 戴日 戴笠 稻穗 水耨 趁晴 心勤 浇瓜 野蔬 丰年乐 牵牛去 春带一犁 惟知稼穑 日日耕原上 杖履身犹健 风调劳鼓腹 南亩茨梁稼 化日长 荷锸归 秋成千亩 不见干戈 年年向陇头 耕锄心未闲 岁晚免攒眉 东郊烟雨蓑 场头防鼠雀 浓露收新稻 去裹一箪饭 桑下弄儿孙 迎寒葺草庐 归收百把禾
25	渔父	钓雪 扣船 鱼矶 月明 濯缨 鼓枻 钓浦 水云 孤蓬 蓼渚 柳岸 泛波 斜风 观雁 脍鱼 和月 蓼穗 湘江 月浦 短艇 晚浦 短笛 枫江 芦湾 避世 细雨 亲鸥 沽酒 眠风 芦花 淮水 雨蓬 乱蓑 沧洲 半篙 蛟室 扣船 双蓬鬓 青箬笠 杨柳岸 一竿竹 世尘远 蒹葭浩荡 蓑披残雪 一笛 蜃楼 偎岸 一钓蓑 绿蓑衣 荻芦洲 万古名 山雨晴 风雨飘零 钓拂红尘 江山风致 沉醉残阳里 雨钓宜蓑笠 灯火孤村夕 披蓑临远月 半艇鹭鸥热 出没烟清 闲歌古渡头 烟吟称小舟 芦花两岸秋 张网近中洲 一竿风雨清
26	卖花声	携持 朵朵 白白 通衢 护指 枝枝 红红 曲巷 声声 数朵 异香 新开 引蝶 短白 蜂依檐 香生麝 摘名圃 万紫千红 带露摘来 色色 百金 奇蕊 乍摘 欢心 长红 蝶趁人 价千金 入朱门 狂蜂游蝶 临风归去 惊起绣娥 数声花外远 趋市来侵晓 舞蠂动依檐 引来歌妓 千朵露中新 开园采及春 游蜂远趁人
27	醉客	乱舞 颠狂 卧草 兀兀 狂歌 酩酊 眠花 醺醺 幕天 沉迷 方酣日 玉山颓 随意眠芳草 事业归浮蚁 欲坐心无定 举杯邀明月 席地 轻薄 未醒时 金盏尽 无言对落芳 功名等曲蜗 将行步复斜 白眼望青天
28	樵夫	原野 持斧 斫薪 刍荛 运斤 伐木 穿林 负重 甜食 晓日 岩阿 束薪 挥斧 斜径 木担 岩边 戴笠 山林 卖薪 越岭 临危 饮泉 晚烟 斤斧 荷笠 息肩 旧林 芒鞋 云际 负薪 斧担 沽酒 畏虎 去去 去时 云随担 敲叶雨 两两登崖险 斫柯寻晓去 拨云寻古径 展歌喧绿野 烂柯 丁丁 归处 雨湿衣 落花泥 丁丁伐木声 负重带星归 踏雪下危峰 往啸入幽林 惊猿鹤梦 采薪忧雪冷 歌声松径 伴鹿麋游 贪价愿天寒 笛韵竹林间
29	隐者	卧龙 耕云 踏海 避地 龙蟠 云楼 韬光 出群 栖凤 钓月 归山 逃名 豹隐 木食 晦迹 避俗 箕山 归田 诗兴逸 纷华外 林泉静 洗耳颍川水 青云无彻迹 豹向南山隐 一榻坐临水 颍水 招隐 世缘疏 寂寞中 夕霭间 疗饥商岭薇 白发有柴荆 龙来北海蟠 片心闲对云 窗列四君子 一瓢清乐韵 泉石平生事 门客五大夫 三尺古琴声 山林日夕心
30	猎者	臂鹰 雕弓 射雕 驰逐 旌旗 走犬 铺网 分围 逐兽 飞鹰 牵犬 鸣镝 落雁 畋游 鼙鼓 穿林 结群 齐射 获禽 走犬 旗开 金勒 鹰犬去 新丰市 霜蹄滑 声惊霹历 雕盘平野 鹘翻锦翅 草枯鹰眼疾 箭落 角弓 虎狼来 细柳营 帛羽高 骑拥貔貅 兔走横岗 犬带金铃 雪尽马蹄轻 旗动将军鼓 红旗开向日 霜空飞二箭 背手抽金镞 此时随得兔 弦鸣壮士弓 白马逐迎风 云影射双雕 翻身控角弓 他日不忘筌
31	医者	起死 察脉 秘方 青囊 丹房 扁鹊 杏林 金液 玉版 出蛇 回生 通神 良剂 金匮 药境 华陀 橘井 银丸 紫书 走獭 徙柳 换心 三折肱 调九候 观虚实 追葛氏 医国手 丹存鼎 洞见五神 丹调国脉 针茅 理脑 一声肠 成千金 辨君臣 继桐君 活人心 药在囊 明知二监 术起民疲 药炉火足 阴阳相配 神农尝草 盛丹须竹节 脉占心腹病 丹就凭仙掌 茶灶烟闲 血脉为根 岐伯典医 量药用刀圭 药贮太和春 春回有异方
<end>	2
<begin>	3	人伦类
1	女婿	射雀 买犬 乘龙 牵羊 冰清 留诗 疏旷 好酒 珍玩 还钱 婿快 穷窗 擅文章 美姿拔俗 隔幔牵丝 玉润 投卷 风姿 能诗 绯衣 归产 翁痴 眇日 耽蒲博 呵气成云 东床坦腹 诗得津梁 修谨自足 果获麒麟骏 屏开金孔雀 书偷玉轴 老成见奇 何妨鹳雀容 褥隐绣芙蓉
2	夫妇	画眉 齐眉 锦封 如宾 荆钗 射雉 分镜 举案 镜约 执爨 布被 化斋 回文 供笑语 歌黄鹄 感孤燕 蓬首请罪 封发 话平生 怨白头 卧牛衣 写真寄诗
3	父子	桥梓 箕裘 隔坐 一门 德星 整肃 凤毛 楂梨 椿桂 齐名 三绝 珠蚌 显荣 骥子 问寝 俯仰林 苏子印 窦禹义方 暇日从时饮 学语转春鸟 试吟青玉案 膝上王文度 趋庭 夏冬日 老莱衣 苏洵科制 明年共我长 涂窗行暮鸦 莫羡紫罗囊 家传张长公
4	兄弟	同气 羽翼 共被 花萼 联珠 金昆 连枝 手足 识声 雁行 双璧 玉友 棠棣 三凤 二陆 三虎 龙驹 辍讼 联芳 同擢第 春草池塘 拭泪沾巾血 草黄骐骥病 鶺鴒 八龙 五常 双珠 凤雏 问衣 并秀 不分财 夜床风雨 梳头满面丝 沙晚鶺鴒寒 对酒都疑梦 ★传乌鹊喜 吟诗正忆渠 恐负鶺鴒诗
5	母子	树萱 杀鸡 还鲜 断机 倚门 知贵 露集 导舆 埋蛇 紫诰鸾回纸 寄鲜 进果 埋钱 伏剑 截发 显忠 乌翔 尝吐 噬指 清朝燕贺人 奕业★姑史 门无黄金聘 慈母手中线 芬芳孟母邻 家有白发亲 游子身上衣
6	孝子	怀橘 竹笋 潘舆 棒檄 涌泉 彩衣 卧冰 烹鱼 扇枕 驯麑 导舆 江鱼 卫幕 锡金 跃鲤 春酒 负米 分椹 驱蚊 搏虎 陟岵 孤云 佳节 驻骑 泣杖 朱颜在 白云亲舍 卫幕衔恩重 委曲承颜体 远传冬笋咪 登山 双日 异乡 望云 得鱼 白发新 黄耳家书 潘舆送喜频 骞飞报主身 更觉彩衣春 圣朝新孝理 云沉亲含远 祖席倍恩光 风动雁行斜
7	叔侄	犹子 璠璵 痴叔 病十起 竹林游 蒙正举 自闻茅屋起 比儿 经纬 才侄 人非常 紫囊戏 仲容贤 只想竹林眠 满谷山云起 耕凿安时论 隔沼连香芰 侵篱涧水流 衣冠与世同 通林带女罗
8	妻妾	侧室 染发 玉箫 碧玉 桃叶 妒宠 列屋 专房 话梅 络秀 绿珠 柳枝 争妍 闲居 莺莺 樱口 皓齿 仙姿 箕帚妾 章台柳 花已老 五夜有心 翠袖香残 紫鸾舞镜 燕燕 柳腰 蛾眉 玉质 花月妖 金谷楼 月犹残 百年无恨 青楼云渺 青鸟衔笺 樱桃樊素口 杨柳小蛮腰
9	祖孙	兴宗 宝田 金篦 置书 名家 龙孙 含饴 瓜绵瓞 效传呼 陇上耕耘 诒谋 盘石 石砚 遗笏 风骨 燕翼 金寺白 桐生枝 严归谒 桑间修植 每诵先芬 绵若葛垂 芹生大泽 时陈祖德 森如竹立 粟出西离
10	婚姻	朱陈 种玉 凤占 玉台 屏雀 星期 玉杵 执雁 鸾匹 双雀屏 莲花幕 吹箫女 秦晋 吹箫 雁币 青鸟 河鲂 月老 朱丝 乘龙 凤鸣 九子墨 三镜台 傅粉郎 路入桃园 翠凤好梦 花殷烛烂 良夜乘龙 月寻鸾扇下 仙配人间少 桥横银汉 红叶良媒 云娇月溶 灵津驾鹊 星向鹊桥飞 云骈天上来
11	悼亡	吹灶 朱愁 琵琶 锦梭 歌扇 炊臼 粉瘦 鹦鹉 罗袜 舞衣 彩云 泣冢 鸾镜在 悲难尽 肠犹转 花落桃源 风散彩云 帐添闲翡翠 明月留歌扇 金钿 断弦 凤楼闲 夜更长 泪未干 海遥蓬岛 霜飘寒菊 佩冷朱珠玑 残云散舞衣 尘入罗衣暗 终期弹琴好 春风闲鲁馆 香沉玉篆消 何惮鼓盆歌 明月断秦箫
12	教子	义方 摊书 择邻 教让 画荻 断机勉学 白首绝长究 庭训 觅句 画鹘 成贤 鬻书 和胆助勤 青衿酒解温 欲折三秋桂 须穷万卷书
13	丧子	舐牍 涨乳 泣血 珠沉 璧埋 怨气 延陵叹 肝肠断 寻旧梦 箧书 割肠 痛心 玉瘗 琼折 丧明 东野悲 泪眼昏 摆新条
14	伤妾	泪残 春寂寂 遗罗袜 海枯石烂 月暗秦楼 肠断 月娟娟 损玉娇 地老天长 云迷洛浦 花信尚留 旧亭红粉阁 镜掩巫山月 花落肥脂冷 梅魂空负 宿处白云关 香埋楚岫云 魂消锦帐寒
15	舅甥	宅相 咏诗 吐哺 余庆 渭阳 通脉 有此甥 徐庶高交友 气吞江上别 明珠 投璧 同心 能文 白水 殊宗 似其舅 刘牢山外甥 泪血渭阳情 能成吾宅相 不减魏阳元
16	赠内	金玉 戒下机 同甘苦 花笺印去 松筠 索诗送 傲雪霜 锦牒来 千里想思 素手掬青霭 夜长灯影灭 几番欢会 杂衣生紫烟 天远雁声孤
<end>	3
<begin>	4	天文类
1	十六夜月	皎洁 轮减 光琰 昨夜 赏心 分寸减 尤皎洁 酬酩酊 婵娟 光亏 影斜 今宵 饮兴 等闲看 尚团圞 减婵娟 银色三千里 免闲长捣药 如何一日隔 最怜新缺后 金风二八里 桂老尚生枝 便减半分圆 全胜未圆时
2	十四夜月	欲满 今宵 一夕 轮欲满 千里共 轮未满 将圆 来夜 九分 笔独擎 九分明 镜欠圆 二七今宵 清光未满 今夕试看 伫看今夜 只争一夕早 定知金镜袅 已知千里共 三五明夜 素影尚亏 来宵定赏 尚欠一分 恰作九分圆 应烦玉斧修 犹讶一分亏 天意将圆夜 人心待满时
3	久雨	决沟 谷荒 霾云 连宵 经日 屋漏 沉灶 麦烂 积潦 累日 终旬 垣颓 伤稼 淋沥 行潦 苔色 望霓 三日 鞭阳石 忧伤惨 颓邻壁 阶滴滴 柴薪湿 潮漎漎 阻程 沾濡 吹烟 蜗涎 瞻日 九旬 洗泥牛 恐防游 泣瓦沟 漏涔涔 耒耜闲 夜淋淋 千里埋烟 檐添细滴 云上如炊 群木水光下 藓生台面石 水鸟投檐宿 无补高天漏 百廛涵潦 江壮洪涛 水喧似瀑 万家云气中 蜗上壁间琴 泥蛙入户鸣 何时厚土干
4	不见月	风妒 雾凝 云妒 薄暮 云翳 隐兔 埋光 雨阻 老雨 罢赏 爽约 寂寥 深沉 云浮 云锁 雨昏 积阴 烟昏 藏蟾 晦影 云生 农云 成愁 愆期 怅望 寂寞 今夕 素魄 蟾华没 空好句 秋寂寂 空寂寞 辜吟望 空对酒 妨啸咏 空期夜月 片云 闲云 兔魄沉 谩登楼 夜漫漫 绝光辉 负赏期 懒登楼 怨黄昏 羞对西风 庭花失影 浮沉桂魄 此生此夜 桂树婆娑 最是分明月 嫦娥还负约 玉宇偏萧索 月桂无香 埋没蝉光 行雨行云 梧桐点滴 翻成点淡秋 佳节却无情 金樽阻献酬 对酒愁偏积 棹倚袁宏渚 敲诗兴不长 帘垂庾亮楼
5	中秋月	秋光 金饼 似昼 桂魄 银盘 如霜 午夜 至晚 经年 夜半 弦管 饮兴 袁渚 银色 中秋 此时 金茎 玉宇 露华重 一轮 通宵 彻夜 秋长 杯盘 诗豪 庾楼 金风 半夜 今夜 桂子 琼楼 桂子飘 月华满 千里共 平分秋色 九秋今夕半 桂香清透露 星辰让光彩 莫辞终夕看 秋色分 十分圆 长伴云衢 万里一轮圆 金气冷含风 风露发晶英 动是隔年期
